empresa,Nombre,status,partind,naics1,naics2,SectorEconomatica
EBC,"Eastern Bankshares, Inc",activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
EBET_old,"Ebet, Inc",cancelado,,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos,Otros
EBF,"Ennis, Inc",activo,,Industrias manufactureras,Impresión e industrias conexas,Otros
EBIX_old,Ebix Inc,cancelado,,"Servicios profesionales, científicos y técnicos",Servicios de diseño de sistemas de cómputo y servicios relacionados,Software y Datos
EBMT,"Eagle Bancorp Montana, Inc",activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
EBS,Emergent Biosolutions Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
EBSB_old,"Meridian Bancorp, Inc",cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
EBTC,"Enterprise Bancorp, Inc",activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
ECHO_old,"Echo Global Logistics, Inc",cancelado,,"Transportes, correos y almacenamiento",Servicios de intermediación para el transporte de carga,Transporte Servic
ECL,Ecolab Inc,activo,.13,Industrias manufactureras,"Fabricación de jabones, limpiadores y preparaciones de tocador",Química
ECOL,"US Ecology, Inc",activo,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",Tratamiento y disposición de desechos,Otros
ECOM_old,Channeladvisor Corp,cancelado,,Información en medios masivos,Edición de software,Software y Datos
ECOR,"Electrocore, Inc",activo,,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
ECPG,"Encore Capital Group, Inc",activo,,Servicios financieros y de seguros,Instituciones financieras de fomento económico,Finanzas y Seguros
ECTE_old,"Echo Therapeutics, Inc",cancelado,,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
ECVT,Ecovyst Inc,activo,,Industrias manufactureras,Industria química,Química
ECYT__old,Endocyte Inc,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
EC_old,Engelhard Corp,cancelado,,Industrias manufactureras,Fabricación de productos químicos básicos,Química
ED,Consolidated Edison Inc,activo,.07,"Empresas de electricidad, gas y agua","Generación, transmisión y suministro de energía eléctrica",Energía Eléctrica
EDE_old,Empire District Electric Co,cancelado,,"Empresas de electricidad, gas y agua","Generación, transmisión y suministro de energía eléctrica",Energía Eléctrica
EDGW_old,Edgewater Technology Inc,cancelado,,"Servicios profesionales, científicos y técnicos","Servicios profesionales, científicos y técnicos",Otros
EDIT,"Editas Medicine, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
EDMC_old,Education Mngmt Corp,cancelado,,Servicios educativos,Servicios educativos,Otros
EDR,Endeavor Group Hldg Inc,activo,,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos,Otros
EDR_old,"Education Realty Trust, Inc",cancelado,,Servicios financieros y de seguros,Otros fondos,Fondos
EDS_old,Electronic Data Systems Corp,cancelado,,"Servicios profesionales, científicos y técnicos","Servicios profesionales, científicos y técnicos",Otros
EDUC,Educational Development Corp,activo,,Comercio al por mayor,Comercio al por mayor de bienes no durables diversos,Comercio
EE,"Excelerate Energy, Inc",activo,,"Empresas de electricidad, gas y agua",Suministro de gas por ductos al consumidor final,Petróleo y Gas
EEFT,"Euronet Worldwide, Inc",activo,,Servicios financieros y de seguros,Uniones de crédito e instituciones de ahorro,Finanzas y Seguros
EEI_old,Ecology & Environment Inc,cancelado,,"Servicios profesionales, científicos y técnicos","Servicios de arquitectura, ingeniería y actividades relacionadas",Otros
EEQ_old,Enbridge Energy Mngmt L L C,cancelado,,"Minería, explotación de canteras y extracción de petróleo y gas",Extracción de petróleo y gas,Petróleo y Gas
EEX,"Emerald Holding, Inc",activo,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",Otros
EE_old,El Paso Electric Co,cancelado,,"Empresas de electricidad, gas y agua","Generación, transmisión y suministro de energía eléctrica",Energía Eléctrica
EFC,Ellington Financial Inc,activo,,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,Servicios inmobiliarios,Otros
EFII_old,Electronics For Imaging Inc,cancelado,,Industrias manufactureras,Fabricación de equipo de comunicación,Electroelectronic
EFOI,"Energy Focus, Inc",activo,,Industrias manufactureras,Fabricación de accesorios de iluminación,Electroelectronic
EFSC,Enterprise Financial Services Corp,activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
EFX,Equifax Inc,activo,.08,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",Otros
EGAN,Egain Corp,activo,,Información en medios masivos,Edición de software,Software y Datos
EGAS_old,Gas Natural Inc,cancelado,,"Empresas de electricidad, gas y agua",Suministro de gas por ductos al consumidor final,Petróleo y Gas
EGBN,"Eagle Bancorp, Inc",activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
