empresa,Nombre,status,partind,naics1,naics2,SectorEconomatica
A,"Agilent Technologies, Inc",activo,.09,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
AA,Alcoa Corp,activo,,Industrias manufactureras,Industria básica del aluminio,Siderur & Metalur
AABA_old,Altaba Inc,cancelado,,"Servicios profesionales, científicos y técnicos",Servicios de diseño de sistemas de cómputo y servicios relacionados,Software y Datos
AAC_old,Aac Hldg Inc,cancelado,,Servicios de salud y de asistencia social,Otros consultorios para el cuidado de la salud,Otros
AAIC_old,Arlington Asset Investment Corp,cancelado,,Servicios financieros y de seguros,Otros fondos,Fondos
AAL,American Airlines Group Inc,activo,.02,"Transportes, correos y almacenamiento",Transporte aéreo regular,Transporte Servic
AAME,Atlantic American Corp,activo,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
AAOI,"Applied Optoelectronics, Inc",activo,,Industrias manufactureras,Fabricación de componentes electrónicos,Electroelectronic
AAON,"Aaon, Inc",activo,,Industrias manufactureras,"Fabricación de equipo de aire acondicionado, calefacción, y de refrigeración industrial y comercial",Maquinaria Indust
AAP,"Advance Auto Parts, Inc",activo,,Comercio al por menor,"Tienda de repuestos, accesorios y llantas",Comercio
AAPC_old,Atlantic Alliance Partnership Corp,cancelado,,Servicios financieros y de seguros,Otros fondos,Fondos
AAPL,Apple Inc,activo,6.3,Industrias manufactureras,Fabricación de computadoras y equipo periférico,Electroelectronic
AAT,"American Assets Trust, Inc",activo,,Servicios financieros y de seguros,Otros fondos,Fondos
AAWW_old,Atlas Air Worldwide Hldg Inc,cancelado,,"Transportes, correos y almacenamiento",Transporte aéreo no regular,Transporte Servic
ABAX_old,Abaxis Inc,cancelado,,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
ABBV,Abbvie Inc,activo,.73,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ABCB,Ameris Bancorp,activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
ABCD_old,"Cambium Learning Group, Inc",cancelado,,Información en medios masivos,"Edición de periódicos, revistas, libros y similares",Otros
ABCO_old,Advisory Board Co,cancelado,,Construcción,Edificación residencial,Construcción
ABEO,Abeona Therapeutics Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ABG,"Asbury Automotive Group, Inc",activo,,Comercio al por menor,Comercio al por menor,Comercio
ABGX_old,Abgenix Inc,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ABH_old,Bowater Inc,cancelado,,Industrias manufactureras,"Fabricación de pulpa, papel y cartón",Papel y Celulosa
ABII_old,"Abraxis Bioscience, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ABI_old,Applied Biosystems Inc,cancelado,,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
ABM,Abm Industries Inc,activo,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",Servicios de limpieza,Otros
ABMD_old,"Abiomed, Inc",cancelado,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
ABNB,"Airbnb, Inc",activo,.16,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",Servicios de limpieza,Otros
ABOS,"Acumen Pharmaceuticals, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ABR,"Arbor Realty Trust, Inc",activo,,Servicios financieros y de seguros,Otros fondos,Fondos
ABSI,Absci Corp,activo,,"Servicios profesionales, científicos y técnicos",Servicios de investigación científica y desarrollo,Otros
ABS_old,Albertsons Inc,cancelado,,Comercio al por menor,Almacenes de alimentos,Comercio
ABT,Abbott Laboratories,activo,.48,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ABTX_old,"Allegiance Bancshares, Inc",cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
ABVC,"Abvc Biopharma, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AC,"Associated Capital Group, Inc",activo,,Servicios financieros y de seguros,"Casas de bolsa, casas de cambio y centros cambiarios",Finanzas y Seguros
ACA,"Arcosa, Inc",activo,,Industrias manufactureras,Fabricación de estructuras metálicas y productos de herrería,Siderur & Metalur
ACAD,Acadia Pharmaceuticals Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ACAS_old,"American Capital, Ltd",cancelado,,Servicios financieros y de seguros,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
ACAT__old,Arctic Cat Inc,cancelado,,Industrias manufactureras,Fabricación de otro equipo de transporte,Vehículos y Pieza
ACBI_old,"Atlantic Capital Bancshares, Inc",cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
ACCD,"Accolade, Inc",activo,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",Otros
ACCO,Acco Brands Corp,activo,,Industrias manufactureras,Impresión e industrias conexas,Otros
ACC_old,American Campus Communities Inc,cancelado,,Servicios financieros y de seguros,Otros fondos,Fondos
ACDC,Profrac Holding Corp,activo,,"Minería, explotación de canteras y extracción de petróleo y gas",Servicios relacionados con la minería,Minería
ACDO_old,Accredo Health Inc,cancelado,,Servicios de salud y de asistencia social,Servicios de salud y de asistencia social,Otros
ACER_old,Acer Therapeutics Inc,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ACET_old,Aceto Corp,cancelado,,Comercio al por mayor,Comercio al por mayor de remédios,Comercio
ACFC_old,Atlantic Coast Financial Corp,cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
ACF_old,"General Motors Financial Company, Inc",cancelado,,Servicios financieros y de seguros,Servicios financieros y de seguros,Finanzas y Seguros
ACGN_old,"Aceragen, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ACHC,"Acadia Healthcare Company, Inc",activo,,Servicios de salud y de asistencia social,Otros consultorios para el cuidado de la salud,Otros
ACHN_old,Achillion Pharmaceuticals Inc,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ACHV,"Achieve Life Sciences, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ACI,"Albertsons Companies, Inc",activo,,Comercio al por menor,Almacenes de alimentos,Comercio
ACIA_old,"Acacia Comm, Inc",cancelado,,Industrias manufactureras,Fabricación de componentes electrónicos,Electroelectronic
ACIC,American Coastal Insurance Corp,activo,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
ACIW,"ACI Worldwide, Inc",activo,,Información en medios masivos,Edición de software,Software y Datos
ACLS,Axcelis Technologies Inc,activo,,Industrias manufactureras,"Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica",Maquinaria Indust
ACLX,"Arcellx, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ACL_old,Alcon Inc,cancelado,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
ACM,Aecom,activo,,"Servicios profesionales, científicos y técnicos","Servicios de arquitectura, ingeniería y actividades relacionadas",Otros
ACMR,"Acm Research, Inc",activo,,Industrias manufactureras,"Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica",Maquinaria Indust
ACNB,Acnb Corp,activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
ACNT,Ascent Industries Co.,activo,,Industrias manufactureras,Fabricación de productos de hierro y acero,Siderur & Metalur
ACOR,"Acorda Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ACPW_old,"P10 Industries, Inc",cancelado,,"Empresas de electricidad, gas y agua","Generación, transmisión y suministro de energía eléctrica",Energía Eléctrica
ACRE,Ares Commercial Real Estate Corp,activo,,Servicios financieros y de seguros,Otros fondos,Fondos
ACRS,"Aclaris Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ACRV,"Acrivon Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ACS_old,Affiliated Computer Services Inc,cancelado,,Información en medios masivos,"Procesamiento electrónico de información, hospedaje y otros servicios relacionados",Software y Datos
ACT,Enact Hldg Inc,activo,,Servicios financieros y de seguros,Servicios relacionados con los seguros y las fianzas,Finanzas y Seguros
ACTA_old,Actua Corp,cancelado,,"Servicios profesionales, científicos y técnicos",Servicios de diseño de sistemas de cómputo y servicios relacionados,Software y Datos
ACTG,Acacia Research Corp,activo,,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,"Servicios de alquiler de marcas registradas, patentes y franquicias",Otros
ACU,Acme United Corp,activo,,Industrias manufactureras,Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,Siderur & Metalur
ACUR_old,"Acura Pharmaceuticals, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ACVA,Acv Auctions Inc,activo,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",Otros
ACV_old,Alberto-Culver Co,cancelado,,Industrias manufactureras,"Fabricación de jabones, limpiadores y preparaciones de tocador",Química
ACW_old,Accuride Corp,cancelado,,Industrias manufactureras,Fabricación de carrocerías y remolques,Vehículos y Pieza
ACXP,"Acurx Pharmaceuticals, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ADBE,Adobe Inc,activo,.57,Información en medios masivos,Edición de software,Software y Datos
ADC,Agree Realty Corp,activo,,Servicios financieros y de seguros,Otros fondos,Fondos
ADCT_old,Adc Telecommunications Inc,cancelado,,Industrias manufactureras,Fabricación de equipo de comunicación,Electroelectronic
ADGE_old,American Dg Energy Inc,cancelado,,"Empresas de electricidad, gas y agua","Generación, transmisión y suministro de energía eléctrica",Energía Eléctrica
ADI,"Analog Devices, Inc",activo,.22,Industrias manufactureras,Fabricación de componentes electrónicos,Electroelectronic
ADK_old,"Regional Health Properties, Inc",cancelado,,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,Alquiler sin intermediación de bienes raíces,Otros
ADM,Archer-Daniels-Midland Co,activo,.07,Industrias manufactureras,Molienda de granos y de semillas oleaginosas,Alimentos y Beb
ADMA,"Adma Biologics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ADMS_old,Adamas Pharmaceuticals Inc,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ADP,"Automatic Data Processing, Inc",activo,.24,Información en medios masivos,"Procesamiento electrónico de información, hospedaje y otros servicios relacionados",Software y Datos
ADPT,Adaptive Biotechnologies Corp,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ADPT_old,Steel Excel Inc,cancelado,,"Minería, explotación de canteras y extracción de petróleo y gas",Servicios relacionados con la minería,Minería
ADRX_old,Andrx Corp,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ADSK,"Autodesk, Inc",activo,.13,Información en medios masivos,Edición de software,Software y Datos
ADSW_old,"Advanced Disposal Services, Inc",cancelado,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",Tratamiento y disposición de desechos,Otros
ADT,ADT Inc,activo,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de investigación, protección y seguridad",Otros
ADTN,Adtran Hldg Inc,activo,,Industrias manufactureras,Fabricación de equipo de comunicación,Electroelectronic
ADTX,"Aditxt, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ADT_old,ADT Corp,cancelado,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de investigación, protección y seguridad",Otros
ADUS,Addus Homecare Corp,activo,,Servicios de salud y de asistencia social,Servicios de enfermería a domicilio,Otros
ADVM,"Adverum Biotechnologies, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ADVP_old,Advancepcs,cancelado,,Comercio al por menor,Tienda de artículos de salud y cuidados personales,Comercio
ADVS_old,Advent Software Inc,cancelado,,"Servicios profesionales, científicos y técnicos",Servicios de diseño de sistemas de cómputo y servicios relacionados,Software y Datos
ADXS_old,"Ayala Pharmaceuticals, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ADYX_old,"Adynxx, Inc",cancelado,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
AE,"Adams Resources & Energy, Inc",activo,,Comercio al por mayor,Comercio al por mayor de petróleo y productos de petróleo,Petróleo y Gas
AEE,Ameren Corp,activo,.04,"Empresas de electricidad, gas y agua","Generación, transmisión y suministro de energía eléctrica",Energía Eléctrica
AEGN_old,Aegion Corp,cancelado,,Construcción,"Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicaciones",Construcción
AEGR_old,"Aegerion Pharmaceuticals, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AEHR,Aehr Test Systems,activo,,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
AEI,Alset Inc,activo,,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,Servicios inmobiliarios,Otros
AEIS,"Advanced Energy Industries, Inc",activo,,Industrias manufactureras,Fabricación de equipo de comunicación,Electroelectronic
AEL_old,American National Group Inc,cancelado,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
AEMD,"Aethlon Medical, Inc",activo,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
AEO,American Eagle Outfitters Inc,activo,,Comercio al por menor,Tienda de ropas,Comercio
AEP,American Electric Power Co Inc,activo,.1,"Empresas de electricidad, gas y agua","Generación, transmisión y suministro de energía eléctrica",Energía Eléctrica
AEPI_old,Aep Industries Inc,cancelado,,Industrias manufactureras,Fabricación de productos de plástico,Otros
AERI_old,"Aerie Pharmaceuticals, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AES,AES Corp,activo,.03,"Empresas de electricidad, gas y agua","Generación, transmisión y suministro de energía eléctrica",Energía Eléctrica
AESI,Atlas Energy Solutions Inc,activo,,"Minería, explotación de canteras y extracción de petróleo y gas",Minería de minerales no metálicos,Minería
AET__old,Aetna Inc,cancelado,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
AET_old,Aetna Inc-Old,cancelado,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
AEY,"Addvantage Technologies Group, Inc",activo,,Comercio al por mayor,Comercio al por mayor de mercancias durables,Comercio
AFAM_old,Almost Family Inc,cancelado,,Servicios de salud y de asistencia social,Otros servicios de asistencia social,Otros
AFCG,"Afc Gamma, Inc",activo,,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,Servicios inmobiliarios,Otros
AFCI_old,Advanced Fibre Comm Inc,cancelado,,Industrias manufactureras,Fabricación de equipo de comunicación,Electroelectronic
AFCO_old,American Farmland Company,cancelado,,Servicios financieros y de seguros,Otros fondos,Fondos
AFFX_old,Affymetrix Inc,cancelado,,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
AFG,"American Financial Group, Inc",activo,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
AFH_old,Atlas Financial Hldg Inc,cancelado,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
AFI,"Armstrong Flooring, Inc",activo,,Industrias manufactureras,Fabricación de productos de plástico,Otros
AFIB_old,"Acutus Medical, Inc",cancelado,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
AFL,Aflac Inc,activo,.1,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
AFOP_old,Alliance Fiber Optic Products Inc,cancelado,,Industrias manufactureras,Fabricación de componentes electrónicos,Electroelectronic
AFRM,Affirm Hldg Inc,activo,,Servicios financieros y de seguros,Instituciones financieras de fomento económico,Finanzas y Seguros
AFR_old,American Financial Realty Trust,cancelado,,Servicios financieros y de seguros,Otros fondos,Fondos
AFSI_old,"Amtrust Financial Services, Inc",cancelado,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
AFS_old,Associates First Capital Corp,cancelado,,Servicios financieros y de seguros,Instituciones financieras de fomento económico,Finanzas y Seguros
AF_old,Astoria Financial Corp,cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
AGCO,Agco Corp,activo,,Industrias manufactureras,Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,Siderur & Metalur
AGC_old,American General Corp,cancelado,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
AGEN,Agenus Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AGE_old,Edwards A G Inc,cancelado,,Servicios financieros y de seguros,"Casas de bolsa, casas de cambio y centros cambiarios",Finanzas y Seguros
AGFS_old,"Agrofresh Solutions, Inc",cancelado,,Industrias manufactureras,"Fabricación de fertilizantes, pesticidas y otros agroquímicos",Química
AGIO,"Agios Pharmaceuticals, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AGL,"Agilon Health, Inc",activo,,Servicios de salud y de asistencia social,Servicios de salud y de asistencia social,Otros
AGM,Federal Agricultural Mortgage Corp,activo,,Servicios financieros y de seguros,Instituciones financieras de fomento económico,Finanzas y Seguros
AGNC,Agnc Investment Corp,activo,,Servicios financieros y de seguros,Otros fondos,Fondos
AGN__old,Allergan Plc,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AGN_old,Allergan Inc,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AGP_old,Amerigroup Corp,cancelado,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
AGR,"Avangrid, Inc",activo,,"Empresas de electricidad, gas y agua","Generación, transmisión y suministro de energía eléctrica",Energía Eléctrica
AGRX,Agile Therapeutics Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AGR_old,Agere Systems Inc,cancelado,,Industrias manufactureras,Fabricación de componentes electrónicos,Electroelectronic
AGTC_old,Applied Genetic Technologies Corp,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AGTI_old,"Agiliti, Inc \De",cancelado,,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",Otros
AGX,Argan Inc,activo,,Construcción,Trabajos especializados para la construcción,Construcción
AGYS,Agilysys Inc,activo,,"Servicios profesionales, científicos y técnicos",Servicios de diseño de sistemas de cómputo y servicios relacionados,Software y Datos
AHCO,Adapthealth Corp,activo,,Servicios de salud y de asistencia social,Servicios de enfermería a domicilio,Otros
AHGP_old,"Alliance Hldg Gp, L.P.",cancelado,,"Minería, explotación de canteras y extracción de petróleo y gas",Minería de carbón,Minería
AHG_old,Apria Healthcare Group Inc,cancelado,,Servicios de salud y de asistencia social,Servicios de enfermería a domicilio,Otros
AHH,"Armada Hoffler Properties, Inc",activo,,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,Servicios inmobiliarios,Otros
AHPI_old,"Allied Healthcare Products, Inc",cancelado,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
AHT,Ashford Hospitality Trust Inc,activo,,Servicios financieros y de seguros,Otros fondos,Fondos
AH_old,Armor Hldg Inc,cancelado,,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
AI,"C3.Ai, Inc",activo,,Información en medios masivos,Edición de software,Software y Datos
AIG,"American Intl Group, Inc",activo,.12,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
AIII_old,Acre Realty Investors Inc,cancelado,,Servicios financieros y de seguros,Otros fondos,Fondos
AIM,Aim Immunotech Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AIMC_old,Altra Industrial Motion Corp,cancelado,,Industrias manufactureras,"Fabricación de otros productos textiles, excepto prendas de vestir",Textil
AIMT_old,"Aimmune Therapeutics, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AIN,Albany Intl Corp,activo,,Industrias manufactureras,Fabricación de telas,Textil
AINC,Ashford Inc,activo,,"Servicios profesionales, científicos y técnicos","Servicios de consultoría administrativa, científica y técnica",Otros
AIP,"Arteris, Inc",activo,,Industrias manufactureras,Fabricación de componentes electrónicos,Electroelectronic
AIQ,Global X Artificial Intelligence & Technology ETF,activo,,Industrias manufactureras,Otras industrias manufactureras,Otros
AIQ_old,"Alliance Healthcare Services, Inc",cancelado,,Servicios de salud y de asistencia social,Laboratorios médicos y de diagnóstico,Otros
AIR,Aar Corp,activo,,Industrias manufactureras,Fabricación de equipo aeroespacial,Vehículos y Pieza
AIRC,Apartment Income Reit Corp,activo,,Servicios financieros y de seguros,Otros fondos,Fondos
AIRE,Realpha Tech Corp,activo,,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,Servicios inmobiliarios,Otros
AIRI,Air Industries Group,activo,,Industrias manufactureras,Fabricación de equipo aeroespacial,Vehículos y Pieza
AIRM_old,Air Methods Corp,cancelado,,"Transportes, correos y almacenamiento",Transporte aéreo no regular,Transporte Servic
AIRS,"Airsculpt Technologies, Inc",activo,,Servicios de salud y de asistencia social,Consultorios médicos,Otros
AIRT,"Air T, Inc",activo,,"Transportes, correos y almacenamiento",Servicios de mensajería y paquetería foránea,Otros
AIT,Applied Industrial Technologies Inc,activo,,Comercio al por mayor,"Comercio al por mayor de máquinas, equipos y  accesorios",Comercio
AIV,Apartment Investment & Mngmt Co,activo,,Servicios financieros y de seguros,Otros fondos,Fondos
AIZ,"Assurant, Inc",activo,.02,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
AJG,Arthur J. Gallagher & Co.,activo,.12,Servicios financieros y de seguros,Servicios relacionados con los seguros y las fianzas,Finanzas y Seguros
AJRD_old,Aerojet Rocketdyne Hldg Inc,cancelado,,Industrias manufactureras,Fabricación de equipo aeroespacial,Vehículos y Pieza
AJX,Great Ajax Corp,activo,,Servicios financieros y de seguros,Otros fondos,Fondos
AKA,A.K.A. Brands Holding Corp,activo,,Comercio al por menor,Ventas por correo o medio electrónico,Comercio
AKAM,"Akamai Technologies, Inc",activo,.04,"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación","Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",Otros
AKAOQ_old,"Achaogen, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AKBA,"Akebia Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AKCA_old,"Akcea Therapeutics, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AKR,Acadia Realty Trust,activo,,Servicios financieros y de seguros,Otros fondos,Fondos
AKRO,"Akero Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AKRX_old,"Akorn, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AKS_old,Ak Steel Holding Corp,cancelado,,Industrias manufactureras,Fabricación de productos de hierro y acero,Siderur & Metalur
AKTX,Akari Therapeutics Plc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AKUS_old,"Akouos, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
AKYA,"Akoya Biosciences, Inc",activo,,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
AL,Air Lease Corp,activo,,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,Alquiler de artículos para el hogar y personales,Otros
ALB,Albemarle Corp,activo,.03,Industrias manufactureras,"Fabricación de resinas y hules sintéticos, y fibras químicas",Química
ALBO_old,"Albireo Pharma, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ALCO,"Alico, Inc",activo,,"Agricultura, ganadería, aprovechamiento forestal, pesca y caza",Agricultura,Agro & Pesca
ALDR_old,Alder Biopharmaceuticals Inc,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ALDX,"Aldeyra Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ALD_old,Allied Capital Corp,cancelado,,Servicios financieros y de seguros,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
ALE,"Allete, Inc",activo,,"Empresas de electricidad, gas y agua","Generación, transmisión y suministro de energía eléctrica",Energía Eléctrica
ALEC,"Alector, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ALEX,"Alexander & Baldwin, Inc",activo,,Servicios financieros y de seguros,Otros fondos,Fondos
ALF_old,"Alfi, Inc",cancelado,,"Servicios profesionales, científicos y técnicos","Servicios profesionales, científicos y técnicos",Otros
ALG,Alamo Group Inc,activo,,Industrias manufactureras,Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,Siderur & Metalur
ALGM,"Allegro Microsystems, Inc",activo,,Industrias manufactureras,Fabricación de componentes electrónicos,Electroelectronic
ALGN,"Align Technology, Inc",activo,.05,Industrias manufactureras,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Otros
ALGS,"Aligos Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ALGT,Allegiant Travel Co,activo,,"Transportes, correos y almacenamiento",Transporte aéreo regular,Transporte Servic
ALHC,"Alignment Healthcare, Inc",activo,,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
ALIM,Alimera Sciences Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ALJ_old,"Alon USA Energy, Inc",cancelado,,Industrias manufactureras,Fabricación de productos derivados del petróleo y del carbón,Petróleo y Gas
ALK,"Alaska Air Group, Inc",activo,,"Transportes, correos y almacenamiento",Transporte aéreo regular,Transporte Servic
ALKS_old,Alkermes Inc-Old,cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ALKT,"Alkami Technology, Inc",activo,,Información en medios masivos,Edición de software,Software y Datos
ALL,Allstate Corp,activo,.1,Servicios financieros y de seguros,Instituciones de seguros,Finanzas y Seguros
ALLK,Allakos Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ALLO,"Allogene Therapeutics, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ALLY,Ally Financial Inc,activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
ALMS,Alumis Inc,activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ALNA_old,"Allena Pharmaceuticals, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ALNT,Allient Inc,activo,,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
ALNY,"Alnylam Pharmaceuticals, Inc",activo,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
ALOG_old,Analogic Corp,cancelado,,Industrias manufactureras,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Electroelectronic
ALOT,"Astronova, Inc",activo,,Industrias manufactureras,Fabricación de maquinaria y equipo para el comercio y los servicios,Maquinaria Indust
